INFO:root:Train set: Epoch: [1/300]	Losses: tot:5.52486375	hm:1.93998993	wh:2.61984341	reg:0.27488571	dep:0.04122718	tracking:3.00677656	
INFO:root:Train set: Epoch: [2/300]	Losses: tot:4.42351532	hm:1.39099385	wh:1.85155216	reg:0.23458359	dep:0.01841169	tracking:2.59437097	
INFO:root:Train set: Epoch: [3/300]	Losses: tot:3.58667649	hm:1.20419868	wh:1.71822113	reg:0.21882431	dep:0.01592013	tracking:1.97591124	
INFO:root:Train set: Epoch: [4/300]	Losses: tot:3.22433022	hm:1.07512401	wh:1.48142875	reg:0.20969095	dep:0.01453885	tracking:1.77683354	
INFO:root:Train set: Epoch: [5/300]	Losses: tot:2.9825327	hm:0.98143286	wh:1.40682467	reg:0.20005497	dep:0.01426782	tracking:1.64609459	
INFO:root:Train set: Epoch: [6/300]	Losses: tot:2.81240609	hm:0.93057375	wh:1.30771234	reg:0.19328258	dep:0.01310941	tracking:1.5446691	
INFO:root:Train set: Epoch: [7/300]	Losses: tot:2.5928039	hm:0.86348984	wh:1.2098117	reg:0.18591534	dep:0.01229754	tracking:1.41012001	
INFO:root:Train set: Epoch: [8/300]	Losses: tot:2.58195921	hm:0.83595823	wh:1.19782535	reg:0.1820886	dep:0.01199894	tracking:1.4321309	
INFO:root:Train set: Epoch: [9/300]	Losses: tot:2.46287322	hm:0.80227623	wh:1.13405745	reg:0.17887801	dep:0.01151976	tracking:1.35679347	
INFO:root:Train set: Epoch: [10/300]	Losses: tot:2.38438134	hm:0.78336086	wh:1.11736587	reg:0.17902685	dep:0.011048	tracking:1.29920905	
INFO:root:Val set: Epoch: [10/300]	Losses: tot:1.77774428	hm:0.65530935	wh:1.02582774	reg:0.15386391	dep:0.00842017	tracking:0.85756807	
INFO:root:Train set: Epoch: [11/300]	Losses: tot:2.35314963	hm:0.74143769	wh:1.06424575	reg:0.17281389	dep:0.01085208	tracking:1.3216214	
INFO:root:Train set: Epoch: [12/300]	Losses: tot:2.22647956	hm:0.72428248	wh:1.03103148	reg:0.17156414	dep:0.01051028	tracking:1.21701951	
INFO:root:Train set: Epoch: [13/300]	Losses: tot:2.22328876	hm:0.70972847	wh:1.00892592	reg:0.17016719	dep:0.01039725	tracking:1.23210327	
INFO:root:Train set: Epoch: [14/300]	Losses: tot:2.11658883	hm:0.69347606	wh:0.98954738	reg:0.16696334	dep:0.01006564	tracking:1.14712905	
INFO:root:Train set: Epoch: [15/300]	Losses: tot:2.07987249	hm:0.67108995	wh:0.96063404	reg:0.16317872	dep:0.00998483	tracking:1.13955561	
INFO:root:Train set: Epoch: [16/300]	Losses: tot:2.06135374	hm:0.68040698	wh:0.98423456	reg:0.16483494	dep:0.00992081	tracking:1.10776756	
INFO:root:Train set: Epoch: [17/300]	Losses: tot:2.1069842	hm:0.66972457	wh:0.95318781	reg:0.1623039	dep:0.00988159	tracking:1.16975536	
INFO:root:Train set: Epoch: [18/300]	Losses: tot:2.00954049	hm:0.64573326	wh:0.92930625	reg:0.15956311	dep:0.00952831	tracking:1.1017852	
INFO:root:Train set: Epoch: [19/300]	Losses: tot:1.92033808	hm:0.63735482	wh:0.92673496	reg:0.16069156	dep:0.00957841	tracking:1.02003979	
INFO:root:Train set: Epoch: [20/300]	Losses: tot:1.88442127	hm:0.62484933	wh:0.88636338	reg:0.15787788	dep:0.00943972	tracking:1.00361801	
INFO:root:Val set: Epoch: [20/300]	Losses: tot:1.41292049	hm:0.56400369	wh:0.77006526	reg:0.13196928	dep:0.00639035	tracking:0.63355064	
INFO:root:Train set: Epoch: [21/300]	Losses: tot:1.89979062	hm:0.61736956	wh:0.88661017	reg:0.15594398	dep:0.00924177	tracking:1.02857431	
INFO:root:Train set: Epoch: [22/300]	Losses: tot:1.9484163	hm:0.62566968	wh:0.90573105	reg:0.1559054	dep:0.00917556	tracking:1.06709255	
INFO:root:Train set: Epoch: [23/300]	Losses: tot:1.92590683	hm:0.61748909	wh:0.89566716	reg:0.15513074	dep:0.00912157	tracking:1.05459872	
INFO:root:Train set: Epoch: [24/300]	Losses: tot:1.92748919	hm:0.61955622	wh:0.8770846	reg:0.15641239	dep:0.00908226	tracking:1.05472986	
INFO:root:Train set: Epoch: [25/300]	Losses: tot:1.87174814	hm:0.59627495	wh:0.85295794	reg:0.15403353	dep:0.00907729	tracking:1.02706659	
INFO:root:Train set: Epoch: [26/300]	Losses: tot:1.76516277	hm:0.58592991	wh:0.84590911	reg:0.15190539	dep:0.00906368	tracking:0.93367288	
INFO:root:Train set: Epoch: [27/300]	Losses: tot:1.88055733	hm:0.5983354	wh:0.86274244	reg:0.15316262	dep:0.00905756	tracking:1.0337275	
INFO:root:Train set: Epoch: [28/300]	Losses: tot:1.73600144	hm:0.58543236	wh:0.82756408	reg:0.15171716	dep:0.00869399	tracking:0.90740153	
INFO:root:Train set: Epoch: [29/300]	Losses: tot:1.78037309	hm:0.57692471	wh:0.81965191	reg:0.15216435	dep:0.00854327	tracking:0.96077555	
INFO:root:Train set: Epoch: [30/300]	Losses: tot:1.78863377	hm:0.57629005	wh:0.82113109	reg:0.14982392	dep:0.00880544	tracking:0.97160125	
INFO:root:Val set: Epoch: [30/300]	Losses: tot:1.2717214	hm:0.46540568	wh:0.69217466	reg:0.12399624	dep:0.00597533	tracking:0.60712668	
INFO:root:Train set: Epoch: [31/300]	Losses: tot:1.76849782	hm:0.57502678	wh:0.82611755	reg:0.15050524	dep:0.00849495	tracking:0.9518591	
INFO:root:Train set: Epoch: [32/300]	Losses: tot:1.78118878	hm:0.57445179	wh:0.79811491	reg:0.15089134	dep:0.00868579	tracking:0.96734836	
INFO:root:Train set: Epoch: [33/300]	Losses: tot:1.67691425	hm:0.56258666	wh:0.78015973	reg:0.14804226	dep:0.00849857	tracking:0.87977078	
INFO:root:Train set: Epoch: [34/300]	Losses: tot:1.69854015	hm:0.55832197	wh:0.78271246	reg:0.14704656	dep:0.00842496	tracking:0.90647541	
INFO:root:Train set: Epoch: [35/300]	Losses: tot:1.72038828	hm:0.55182955	wh:0.77555099	reg:0.14796897	dep:0.00856073	tracking:0.93447393	
INFO:root:Train set: Epoch: [36/300]	Losses: tot:1.62796667	hm:0.54819035	wh:0.74464475	reg:0.14636135	dep:0.00811744	tracking:0.85083305	
INFO:root:Train set: Epoch: [37/300]	Losses: tot:1.61174011	hm:0.53359412	wh:0.72210525	reg:0.14479813	dep:0.00811778	tracking:0.85301956	
INFO:root:Train set: Epoch: [38/300]	Losses: tot:1.57749255	hm:0.5349768	wh:0.72892699	reg:0.14507485	dep:0.0082467	tracking:0.81630149	
INFO:root:Train set: Epoch: [39/300]	Losses: tot:1.67842176	hm:0.54855868	wh:0.75065626	reg:0.14599976	dep:0.00824932	tracking:0.90054837	
INFO:root:Train set: Epoch: [40/300]	Losses: tot:1.6088288	hm:0.53352068	wh:0.72475707	reg:0.14391428	dep:0.00806458	tracking:0.85085355	
INFO:root:Val set: Epoch: [40/300]	Losses: tot:1.18616241	hm:0.4786012	wh:0.61041469	reg:0.12370922	dep:0.00593924	tracking:0.51687127	
INFO:root:Train set: Epoch: [41/300]	Losses: tot:1.6426022	hm:0.5408334	wh:0.74096234	reg:0.14542377	dep:0.00810721	tracking:0.87414158	
INFO:root:Train set: Epoch: [42/300]	Losses: tot:1.61170875	hm:0.5268272	wh:0.71724601	reg:0.14284059	dep:0.00812619	tracking:0.86219018	
INFO:root:Train set: Epoch: [43/300]	Losses: tot:1.55217933	hm:0.52132934	wh:0.70583782	reg:0.14400074	dep:0.00802437	tracking:0.80824109	
INFO:root:Train set: Epoch: [44/300]	Losses: tot:1.65195328	hm:0.52944183	wh:0.72445562	reg:0.14264226	dep:0.00769115	tracking:0.89973248	
INFO:root:Train set: Epoch: [45/300]	Losses: tot:1.59211408	hm:0.52752231	wh:0.71883573	reg:0.14412267	dep:0.00779477	tracking:0.84079076	
INFO:root:Train set: Epoch: [46/300]	Losses: tot:1.58768971	hm:0.53245263	wh:0.72324382	reg:0.14329554	dep:0.00794565	tracking:0.8316715	
INFO:root:Train set: Epoch: [47/300]	Losses: tot:1.56395516	hm:0.51386062	wh:0.68635421	reg:0.14082978	dep:0.00781764	tracking:0.83281171	
INFO:root:Train set: Epoch: [48/300]	Losses: tot:1.52588646	hm:0.50381516	wh:0.68037423	reg:0.13972012	dep:0.00762647	tracking:0.80668728	
